Pays,Region,Departement,Ville,Nom,Type_fichier,Categorie,Contact_public,Telephone,Site,Source_URL,Styles_Nyllo,Segment_booking,Priorite,Statut,Action_recommandee,Notes,Fichier_source
France,Grand Est,Lorraine,Nancy,Kontakt Production / Techno Story,promoteur electronic,"techno, electronic event, L Autre Canal",production@lautrecanalnancy.fr / programmation@lautrecanalnancy.fr,03 83 38 44 88,https://lautrecanalnancy.fr/,https://lautrecanalnancy.fr/infos-pratiques/equipe,house-music,DJ set / house music / club,B,email secondaire,Completer le contact puis relancer.,Promoteur techno local; contact direct a completer. | Enrichi 13/08/2026 : Pas de mail public fiable pour Kontakt Production ; contact utile via production/programmation de la salle accueillante.,ajout cible Grand Est house/DJ
France,Grand Est,Lorraine,Metz,Cite musicale-Metz / BAM,SMAC / concert / club,"BAM, Trinitaires, musiques actuelles, electronic, world",program@citemusicale-metz.fr,03 87 74 16 16,https://www.citemusicale-metz.fr/,https://www.citemusicale-metz.fr/contact,world-music | house-music,DJ/live afro-world-house,A,verifie email,Contacter en premier avec positionnement DJ/live afro house - world house.,BAM et Trinitaires utiles pour Nyllo; contact direct a completer. | Enrichi 13/08/2026 : Email programmation officiel de la Cite musicale-Metz.,ajout cible Grand Est house/DJ
France,Grand Est,Lorraine,Metz,Les Trinitaires,salle / club / world music,"ancienne cave jazz, programmation indépendante, world/electro",program@citemusicale-metz.fr,03 87 74 16 16,https://www.citemusicale-metz.fr/les-trinitaires,https://www.citemusicale-metz.fr/contact,world-music | house-music,DJ/live afro-world-house,B,verifie email,Completer le contact puis relancer.,Lieu historique Metz; bon pour live/world. | Enrichi 13/08/2026 : Les Trinitaires dependent de Cite musicale-Metz ; email programmation officiel utilise.,ajout cible Grand Est house/DJ
France,Grand Est,Champagne-Ardenne,Reims,La Cartonnerie,SMAC / club / concert,"electro, techno, rap, jazz, club 350, grande salle",info@cartonnerie.fr,03 26 36 72 40 / 03 26 36 72 49,https://www.cartonnerie.fr/,https://www.cartonnerie.fr/,world-music | house-music,DJ/live afro-world-house,A,verifie email,Contacter en premier avec positionnement DJ/live afro house - world house.,SMAC Reims prioritaire; club + grande salle.,ajout cible Grand Est house/DJ
France,Grand Est,Champagne-Ardenne,Charleville-Mezieres,Cabaret Vert,festival generaliste / electro / world,"festival eco-responsable, electro, reggae, pop, rap",info@cabaretvert.com,+33 3 24 36 12 68,https://cabaretvert.com/contact/,https://cabaretvert.com/contact/,world-music | house-music,DJ/live afro-world-house,A,verifie email,Contacter en premier avec positionnement DJ/live afro house - world house.,Grand festival; utile world/electro.,ajout cible Grand Est house/DJ
France,Grand Est,Alsace,Strasbourg,KALT,club electronic / house techno,"house, techno, ambient, artspace, club",contact@k-alt.com,,https://www.k-alt.com/,https://www.k-alt.com/,house-music,DJ set / house music / club,B,verifie email,Contacter selon calendrier.,Deja present; ligne renforcee house.,ajout cible Grand Est house/DJ
France,Grand Est,Alsace,Strasbourg,Karmen Camina,lieu culturel / club / concerts,"house, techno, latincore, afro, dancehall, baile funk",event@karmen-camina.eu,,https://www.karmen-camina.eu/,https://www.karmen-camina.eu/,bresil | world-music | house-music,DJ/live afro-world-house,A,verifie email,Contacter en premier avec positionnement DJ/live afro house - world house.,Tres fort afro/club.,ajout cible Grand Est house/DJ
France,Grand Est,Alsace,Strasbourg,Hey Mama Gare,restaurant afro-fusion / DJ sets,"afro-fusion, DJ sets, concerts, events",contact via site,03 88 59 08 36,https://heymama-restaurant.com/,https://heymama-restaurant.com/,world-music | house-music,DJ/live afro-world-house,A,telephone verifie,Contacter en premier avec positionnement DJ/live afro house - world house.,Restaurant afro-fusion prioritaire.,ajout cible Grand Est house/DJ
France,Grand Est,Alsace,Strasbourg,Hotel Maison Rouge Strasbourg,hotel event venue / bar,"hotel luxe, events, bar, afterwork chic",contact@maison-rouge.com,03 88 32 08 60,https://maison-rouge.com/,https://maison-rouge.com/,house-music,DJ set / house music / club,B,verifie email,Contacter selon calendrier.,Hotel chic Strasbourg pour DJ/live corporate.,ajout cible Grand Est house/DJ
France,Grand Est,Alsace,Strasbourg,Aloft Strasbourg Etoile,hotel bar / events / DJ,"hotel, bar, events, W XYZ bar",contact via site Marriott / standard hotel,03 67 70 78 00,https://www.marriott.com/en-us/hotels/sxblo-aloft-strasbourg-etoile/overview/,https://www.marriott.com/en-us/hotels/sxblo-aloft-strasbourg-etoile/overview/,house-music,DJ set / house music / club,B,telephone verifie,Completer le contact puis relancer.,Hotel lifestyle utile afterwork/DJ. | Enrichi 13/08/2026 : Pas de mail public direct fiable ; hotel cible pour bar/event chic et afterwork.,ajout cible Grand Est house/DJ
France,Grand Est,Lorraine,Nancy,Ville de Nancy - Culture,commune / programmation culture,"culture, evenements publics, musiques actuelles",contact@nancy.fr,03 83 85 30 00,https://www.nancy.fr/,https://www.nancy.fr/,a qualifier,a qualifier,B,verifie email,Contacter selon calendrier.,Relais municipal events/culture.,ajout cible Grand Est house/DJ
France,Grand Est,Alsace,Strasbourg,Ville de Strasbourg - Culture,commune / programmation culture,"culture, evenements publics, danse, musique",contact via formulaire officiel,03 68 98 50 00,https://www.strasbourg.eu/contact,https://www.strasbourg.eu/contact,a qualifier,a qualifier,B,contact via site,Completer le contact puis relancer.,Relais culture/evenements publics. | Enrichi 13/08/2026 : Contact officiel ville ; pas de mail programmation directe repere.,ajout cible Grand Est house/DJ
France,Grand Est,Lorraine,Metz,Ville de Metz - Culture,commune / programmation culture,"culture, ville UNESCO musique, events",contact@mairie-metz.fr,03 87 55 50 00,https://metz.fr/,https://metz.fr/,a qualifier,a qualifier,B,verifie email,Contacter selon calendrier.,Relais municipal et UNESCO music.,ajout cible Grand Est house/DJ
France,Grand Est,Champagne-Ardenne,Reims,Ville de Reims - Culture,commune / programmation culture,"culture, evenements, salles, festivals",contact@reims.fr,03 26 77 78 79,https://www.reims.fr/,https://www.reims.fr/,a qualifier,a qualifier,B,verifie email,Contacter selon calendrier.,Relais municipal pour événements.,ajout cible Grand Est house/DJ
France,Grand Est,Alsace,Mulhouse,Le Noumatrouff,SMAC / club / concert,"musiques actuelles, club, electro, urban",contact@noumatrouff.fr,03 89 32 94 10,https://www.noumatrouff.fr/,https://www.noumatrouff.fr/,house-music,DJ set / house music / club,A,verifie email,Contacter en premier avec positionnement DJ/live afro house - world house.,SMAC Mulhouse prioritaire.,ajout cible Grand Est house/DJ
France,Grand Est,Champagne-Ardenne,Troyes,La Chapelle Argence,salle concerts / events,"concerts, musiques actuelles, events ville",contact via Troyes Champagne Metropole / ville,03 25 42 33 33,https://www.troyeslachampagne.com/decouvrez/sortir/chapelle-argence/,https://www.troyeslachampagne.com/decouvrez/sortir/chapelle-argence/,a qualifier,a qualifier,B,contact via site,Completer le contact puis relancer.,Relais salle et ville Troyes. | Enrichi 13/08/2026 : Salle municipale ; contact direct programmation non repere.,ajout cible Grand Est house/DJ
