Nom,Ancien_region,Nouveau_region,Ancien_contact,Nouveau_contact,Ancien_statut,Nouveau_statut,Source_URL,Notes
Sounds Jazz Club,Bruxelles-Capitale,Bruxelles-Capitale,formulaire booking,formulaire booking,contact public verifie,contact public verifie,https://www.sounds.brussels/nl/booking/,Region corrigee: Ixelles/Bruxelles.
BRASS,Bruxelles-Capitale,Bruxelles-Capitale,quentin.velghe@lebrass.be,quentin.velghe@lebrass.be,verifie email,verifie email,https://www.lebrass.be/apropos/equipe/,Region corrigee Forest/Bruxelles.
Brasserie iLLeGaaL,Bruxelles-Capitale,Bruxelles-Capitale,art@brasserie-illegaal.com,art@brasserie-illegaal.com,à contacter,verifie email,https://www.visit.brussels/en/visitors/venue-details.Brasserie-iLLeGaaL.279476,Region corrigee Forest/Bruxelles.
Pianofabriek,Bruxelles-Capitale,Bruxelles-Capitale,info@pianofabriek.be,info@pianofabriek.be,verifie email,verifie email,https://www.pianofabriek.be/en/contact,Region corrigee Saint-Gilles/Bruxelles.
Plusieurs café-théâtres,Bruxelles-Capitale,Bruxelles-Capitale,n.wibail@visit.brussels / +32 490 49 43 84,n.wibail@visit.brussels / +32 490 49 43 84,contact public verifie,contact public verifie,https://www.visit.brussels/content/dam/visitbrussels/pdf-brochures/presse/cp/bxl-sur-scenes-2024/2024-09-20-PR-Bruxelles-sur-scenes.pdf,Contact presse/visit.brussels garde comme relais Bruxelles sur scenes.
Bars et cafés,Bruxelles-Capitale,Bruxelles-Capitale,contact via Court-Circuit / Stoemp!,contact via Court-Circuit / Stoemp!,a verifier,a verifier,Forte,A completer via organisateur Stoemp!/Court-Circuit.
Salle 1180,Bruxelles-Capitale,Bruxelles-Capitale,à vérifier,à vérifier,a verifier,a verifier,https://diasmecom.com/events/categorie/festival/page/2/?eventDisplay=past,Region corrigee Uccle/Bruxelles; contact direct a completer.
Centre Culturel d'Herlaimont Chapelle,Wallonie,Wallonie,secretariat.cch@7160.be,secretariat.cch@7160.be,verifie email,verifie email,https://linktr.ee/centrecultureldechapelle,Region corrigee Hainaut.
Events Pepinster,Wallonie,Wallonie,chris.epn@pepinster.be,chris.epn@pepinster.be,verifie email,verifie email,http://www.eventspepinster.be/,Region corrigee province de Liege.
Groezrock,Flandre,Flandre,contact via site,contact via site,a verifier,a verifier,https://www.groezrock.be/,Region corrigee; style rock/punk moins prioritaire Nyllo.
Paradise City Festival,Flandre,Flandre,contact via site,contact via site,a verifier,a verifier,https://paradisecity.be/,Region corrigee Perk pres de Bruxelles; contact direct a completer.
Graspop Metal Meeting,Flandre,Flandre,contact via site,contact via site,a verifier,a verifier,https://www.graspop.be/,Region corrigee; hors cible principal Nyllo.
Rock Werchter,Flandre,Flandre,contact via site,contact via site,a verifier,a verifier,https://www.rockwerchter.be/,Region corrigee Werchter/Brabant flamand; email direct non confirme.
Dour Festival,Wallonie,Wallonie,hello@dourfestival.eu,hello@dourfestival.eu,verifie email,verifie email,https://www.dourfestival.eu/,Contact hello@dourfestival.eu conserve comme meilleur contact public.
Tomorrowland,Flandre,Flandre,contact via site,contact via site,a verifier,a verifier,https://www.tomorrowland.com/,Region corrigee Boom/Anvers; contact direct booking non confirme.
Sfinks Mixed,Flandre,Flandre,info@sfinks.be,info@sfinks.be,verifie email,verifie email,https://www.sfinks.be/,World festival tres pertinent; contact info@sfinks.be.
Lokerse Feesten,Flandre,Flandre,info@lokersefeesten.be,info@lokersefeesten.be,verifie email,verifie email,https://www.lokersefeesten.be/,Region/contact public ajoute.
Reggae Geel,Flandre,Flandre,info@reggaegeel.com,info@reggaegeel.com,verifie email,verifie email,https://www.reggaegeel.com/,Reggae/world; contact public ajoute.
Antilliaanse Feesten,Flandre,Flandre,info@antilliaansefeesten.be,info@antilliaansefeesten.be,verifie email,verifie email,https://www.antilliaansefeesten.be/,Caribbean/world; contact public ajoute.
Leffingeleuren,Flandre,Flandre,info@leffingeleurenfestival.be,info@leffingeleurenfestival.be,verifie email,verifie email,https://www.leffingeleurenfestival.be/,Region/contact public ajoute.
Bear Rock Festival,Wallonie,Wallonie,contact via site,contact via site,a verifier,a verifier,https://bear-rock.org/,Region corrigee Andenne/Namur; email direct a completer.
Kompass Klub,Flandre,Flandre,contact via site,contact via site,a verifier,a verifier,https://kompassklub.com/,Club Gent; contact direct a completer via site/social officiel.
