Pays,Region,Ville,Lieu,Type,Email,Telephone,Adresse,Site,Source_URL,Compatibilite_Nyllo,Priorite,Statut,Notes
France,Hauts-de-France,Oignies,9-9bis / Le Metaphone,Site culturel / musique actuelle,programmation@9-9bis.com,+33 3 21 08 08 00,"Rue du Tordoir, 62590 Oignies",https://9-9bis.com/,https://9-9bis.com/equipe/,Très forte,A,à contacter,Adresse dédiée pour jouer chez eux ; très bon contact
France,Hauts-de-France,Oignies,9-9bis - information generale,Site culturel / musique actuelle,info@9-9bis.com,+33 3 21 08 08 00,"Rue du Tordoir, 62590 Oignies",https://9-9bis.com/,https://9-9bis.com/infos-pratiques/,Forte,B,à contacter,Contact général en complément
France,Hauts-de-France,Dunkerque,Le Bateau Feu,Scène nationale / théâtre / musique,contact via formulaire / téléphone,03 28 51 40 40,"Place du Général-de-Gaulle, 59376 Dunkerque Cedex 1",https://www.lebateaufeu.com/,https://www.lebateaufeu.com/17-nous_contacter/,Bonne,B,à contacter,"Pas d’email clair trouvé ; téléphone billetterie/administration confirmé 03 28 51 40 40, formulaire officiel disponible."
France,Hauts-de-France,Arras,Le Pharos,Salle / espace culturel,pharos@ville-arras.fr,03 21 16 89 00,"4 rue Charles Péguy, 62000 Arras",https://www.pharos-arras.fr/,https://www.pharos-arras.fr/,Forte,A,à contacter,Salle culturelle de la Ville d'Arras ; utile pour concerts et événements
France,Hauts-de-France,Saint-Omer,La Barcarolle,EPCC spectacle vivant / salles culturelles,contact@labarcarolle.org,03 21 88 94 80,"Le Moulin à Café, Place du Maréchal Foch, 62500 Saint-Omer",https://www.labarcarolle.org/,https://www.labarcarolle.org/tarifs-et-informations-pratiques/,Forte,A,à contacter,EPCC avec plusieurs salles ; bon relais spectacle vivant
France,Hauts-de-France,Creil,La Faiencerie,Théâtre / complexe culturel,accueil@faiencerie-theatre.com,03 44 24 01 01,"Allée Nelson, CS 50012, 60104 Creil Cedex",https://faiencerie-theatre.com/,https://faiencerie-theatre.com/opera-au-cinema,Forte,A,à contacter,Complexe culturel avec théâtre et salle polyvalente La Manufacture
France,Normandie,Rouen,Le 106,SMAC / salle de concerts,programmation@le106.com,02 32 10 88 60,"Allée François Mitterrand, 76100 Rouen",https://le106.com/,https://le106.com/le-106/lequipe,Très forte,A,à contacter,Directeur / programmateur indiqué sur le site ; contact fort
France,Normandie,Rouen,Le 106 - programmateur adjoint,Programmation / production,hedi.hassouna@le106.com,02 32 10 88 60,"Allée François Mitterrand, 76100 Rouen",https://le106.com/,https://le106.com/le-106/lequipe,Très forte,A,à contacter,Programmateur adjoint ; utile en relance ciblée
France,Normandie,Sotteville-lès-Rouen,Le Trianon Transatlantique,Scène conventionnée / chanson / musiques francophones,paul.moulenes@trianontransatlantique.com,02 35 73 65 99,"114 avenue du 14 Juillet, 76300 Sotteville-lès-Rouen",https://trianontransatlantique.com/,https://trianontransatlantique.com/infos-contacts/contacts-equipe,Forte,A,à contacter,Direction-programmation ; contact direct
France,Normandie,Hérouville-Saint-Clair,Big Band Cafe,Salle de concerts,guillaume@bigbandcafe.com,02 31 47 49 48,"1 avenue du Haut Crépon, Site de la Fonderie, 14200 Hérouville-Saint-Clair",https://bigbandcafe.com/,https://bigbandcafe.com/contact/,Très forte,A,à contacter,Contact scène régionale confirmé ; téléphone salle général 02 31 47 96 13 en complément.
France,Normandie,Le Havre,Le Tetris,SMAC / salle de concerts,courrier@letetris.fr,02 35 19 00 38,"Fort de Tourneville, 33 rue du 329e RI, 76620 Le Havre",https://letetris.fr/,https://letetris.fr/mentions-legales,Très forte,A,à contacter,SMAC / musiques actuelles ; email éditeur public
France,Normandie,Le Havre,Le Volcan,Scène nationale,programmation@levolcan.com,à compléter,Le Havre,https://www.levolcan.com/,https://www.levolcan.com/contact-lequipe,Forte,A,à contacter,Email programmation trouvé sur page équipe Le Volcan ; email standard public publics@levolcan.com en complément. | Contact recoupé depuis autre fichier booking le 13/08/2026.
France,Normandie,Alençon,La Luciole,SMAC / salle de concerts,infos@laluciole.org,02 33 32 83 33,"171 rue de Bretagne, 61000 Alençon",https://www.laluciole.org/,https://www.laluciole.org/infos-pratiques/contact/,Très forte,A,à contacter,Scène musiques actuelles ; contact général fiable
France,Normandie,Alençon,La Luciole - studios / accompagnement,Accompagnement / répétition,damien@laluciole.org,02 33 32 53 42,"171 rue de Bretagne, 61000 Alençon",https://www.laluciole.org/,https://www.laluciole.org/accompagnement/repetition/,Bonne,B,à contacter,Contact accompagnement ; utile si angle artiste/résidence
France,Normandie,Évreux,Le Tangram / Le Kubb,Scène nationale / musiques actuelles,production@letangram.com,02 32 29 63 32,"1 bis boulevard de Normandie, 27000 Évreux",https://www.letangram.com/,https://epcc.letangram.com/fr/equipe-contacts,Forte,A,à contacter,Contact production interne ; demander relais programmation
France,Normandie,Évreux,Le Tangram - studios,Accompagnement musiques actuelles,studios@letangram.com,02 32 29 63 12,"1 bis boulevard de Normandie, 27000 Évreux",https://www.letangram.com/,https://epcc.letangram.com/fr/equipe-contacts,Bonne,B,à contacter,Contact accompagnement pratiques amateurs
France,Normandie,Dieppe,DSN Dieppe Scene Nationale,Scène nationale / spectacle vivant,direction@dsn.asso.fr,02 35 82 04 43,"Quai Bérigny, 76200 Dieppe",https://www.dsn.asso.fr/,https://dsn.asso.fr/saison24-25/dsn/equipe.php,Forte,A,à contacter,Contact direction visible ; demander relais programmation
France,Normandie,Dieppe,DSN - production / accueil compagnies,Production / accueil artistes,accueil.compagnie@dsn.asso.fr,02 32 14 65 71,"Quai Bérigny, 76200 Dieppe",https://www.dsn.asso.fr/,https://dsn.asso.fr/saison24-25/dsn/equipe.php,Forte,B,à contacter,Contact production/accueil compagnie
France,Normandie,Cherbourg-en-Cotentin,Le Trident,Scène nationale,laboite@trident-sn.com,à compléter,Cherbourg-en-Cotentin,https://www.trident-scenenationale.com/,https://www.trident-scenenationale.com/fr/equipe-et-contact,Forte,A,à contacter,Email général officiel ; demander relais programmation | Contact recoupé depuis autre fichier booking le 13/08/2026.
France,Normandie,Cherbourg-en-Cotentin,Le Trident - billetterie,Scène nationale / accueil,billetterie@sn-trident.com,à compléter,Cherbourg-en-Cotentin,https://www.trident-scenenationale.com/,https://www.trident-scenenationale.com/fr/equipe-et-contact,Moyenne,B,à contacter,Contact billetterie officiel ; utiliser seulement si besoin de relais | Contact recoupé depuis autre fichier booking le 13/08/2026.
