Fichier,Ligne,Nom,Ville,Contact,Statut,Note
Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv,24,Café Roskam,Bruxelles,à vérifier,à vérifier,Jazzconcerts généralement le dimanche soir
Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv,25,Café Central,Bruxelles,wearecafecentral@gmail.com,à contacter,"Email public Facebook ; lieu concerts/DJ sets, vérifier reprise/activité actuelle avant envoi."
Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv,26,Crix Café,Bruxelles,programmation@crixcafe.be,à contacter,Email artistes confirmé ; email info info@crixcafe.be et téléphone +32 478 98 06 70.
Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv,27,Piano Fabriek,Saint-Gilles / Bruxelles,info@pianofabriek.be,à contacter,Email et téléphone +32 2 541 01 70 confirmés.
Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv,28,Horloge du Sud,Bruxelles,info@horlogedusud.be,à contacter,Email et téléphone +32 2 512 18 64 confirmés ; brasserie culturelle africaine.
Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv,29,Bruxelles sur scènes,Bruxelles sur scènes,n.wibail@visit.brussels / +32 490 49 43 84,à contacter,"Contact presse Visit Brussels trouvé dans communiqué ; pour programmation, utiliser aussi les lieux participants."
Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv,30,Stoemp!,Stoemp! / organisateurs bruxellois,à vérifier,Festival semestriel des café-concerts bruxellois selon Visit Brussels,
Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv,31,Togo à Bruxelles,Bruxelles / Uccle,à vérifier,à vérifier,Événement public culture togolaise à Bruxelles
Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv,32,African Culture Festival,Bruxelles,à vérifier,à vérifier,8e édition African Culture Festival
Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv,33,Afro Jam,Bruxelles,à vérifier,à vérifier,Édition spéciale Afro Jam coordonnée par Diese Mbangue
Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv,34,Toots Jazz Club,Bruxelles,à vérifier,à vérifier,"Nouveau club jazz installé en 2025, concerts et jam sessions cinq soirs par semaine"
Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv,35,Art Base,Bruxelles,contact via site / +32 2 217 29 20,à contacter,"Téléphone confirmé +32 2 217 29 20 ; pas d’email direct fiable trouvé, contacter via site ou téléphone."
Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv,36,Atelier Marcel Hastir,Bruxelles,admin@ateliermarcelhastir.eu,à contacter,Email administratif confirmé ; email réservation/concerts ateliermarcelhastir@gmail.com aussi listé par Visit Brussels/Facebook.
Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv,37,Motown Concerts,Bruxelles,à vérifier,à vérifier,À vérifier pour format A SELVA
Evenements 2024-2026 - Belgique France Luxembourg Pays-Bas Suisse - Nyllo Canella.csv,6,LaSemo,Enghien,formulaire contact,à vérifier,Candidatures musique visibles sur le site
Evenements 2024-2026 - Belgique France Luxembourg Pays-Bas Suisse - Nyllo Canella.csv,9,Magma Festival,Bruxelles,à vérifier,à vérifier,"Live et DJ sets, entre concert et club culture"
Evenements 2024-2026 - Belgique France Luxembourg Pays-Bas Suisse - Nyllo Canella.csv,13,Festival Afrodisiac,Bruxelles,Facebook / à vérifier,à vérifier,"Festival familial afro, concerts et ateliers"
Evenements 2024-2026 - Belgique France Luxembourg Pays-Bas Suisse - Nyllo Canella.csv,14,BELONG World-Music Festival,Esch-sur-Alzette,via Esch Explore,à vérifier,"Luxembourg, inclus ici aussi si besoin transfrontalier"
Evenements 2024-2026 - Belgique France Luxembourg Pays-Bas Suisse - Nyllo Canella.csv,16,Clermont Afro Fest,Clermont-Ferrand,via Linktree / réseaux,à vérifier,Festival gratuit pluridisciplinaire
Evenements 2024-2026 - Belgique France Luxembourg Pays-Bas Suisse - Nyllo Canella.csv,17,Soïo Mundo,Lyon,à vérifier,à vérifier,"Kuduro, baile funk, reggaeton, latin, afrobeat dans la programmation"
Evenements 2024-2026 - Belgique France Luxembourg Pays-Bas Suisse - Nyllo Canella.csv,18,Festival des Cultures du Monde,Chambéry,via site,à vérifier,Festival gratuit cultures du monde
Evenements 2024-2026 - Belgique France Luxembourg Pays-Bas Suisse - Nyllo Canella.csv,20,Fête du Gwoka,Paris,via gwokaradio.fr,à vérifier,Petit événement très cohérent percussions / tradition
Evenements 2024-2026 - Belgique France Luxembourg Pays-Bas Suisse - Nyllo Canella.csv,24,Worldwide Festival,Sète,formulaire site,à vérifier,"Festival électronique / global, contact artiste via formulaire"
Evenements 2024-2026 - Belgique France Luxembourg Pays-Bas Suisse - Nyllo Canella.csv,30,BELONG World-Music Festival,Esch-sur-Alzette,via Esch Explore,à vérifier,Organisé avec FSL asbl et partenaires publics
Evenements 2024-2026 - Belgique France Luxembourg Pays-Bas Suisse - Nyllo Canella.csv,31,LOA Esch Season Opening,Esch-sur-Alzette,à vérifier,à vérifier,"Grand open air électronique, scène support possible"
Evenements 2024-2026 - Belgique France Luxembourg Pays-Bas Suisse - Nyllo Canella.csv,32,e-Lake Festival,Echternach,à vérifier,à vérifier,"Festival gratuit, scène electronica"
Evenements 2024-2026 - Belgique France Luxembourg Pays-Bas Suisse - Nyllo Canella.csv,35,Catch Music Festival,Luxembourg,formulaire site,à vérifier,Moins adapté mais réseau culturel local
Evenements 2024-2026 - Belgique France Luxembourg Pays-Bas Suisse - Nyllo Canella.csv,38,Holland Festival x Africadelic,Amsterdam,professionals email via site,à vérifier,Bonne cible pour Afrotech / live hybride
Evenements 2024-2026 - Belgique France Luxembourg Pays-Bas Suisse - Nyllo Canella.csv,49,FOUX Festival,Pays-Bas,mail@foux.nl,à contacter,"Petit festival house-techno, bon pour live compact"
Evenements 2024-2026 - Belgique France Luxembourg Pays-Bas Suisse - Nyllo Canella.csv,56,Festival des cinq Continents,Martigny,contact via site,à vérifier,"Festival gratuit, traditions et créations contemporaines"
Evenements 2024-2026 - Belgique France Luxembourg Pays-Bas Suisse - Nyllo Canella.csv,59,Fête de la Musique Genève - Kutimuy / Orquestre Fuego Son,Genève,email protégé,à vérifier,Musiques du monde / musique latine
Evenements 2024-2026 - Belgique France Luxembourg Pays-Bas Suisse - Nyllo Canella.csv,61,House of Techno,Suisse,booking@houseoftechno.ch,à contacter,Contact booking dédié
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,2,Concerts Belgique,,,à vérifier,Chercher groupes actifs avec posts récents
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,3,Concerts Bruxelles,,,à vérifier,Priorité forte pour Nyllo basé en Belgique
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,4,Sorties Bruxelles concerts spectacles,,,à vérifier,Bon pour bars et spectacles publics
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,5,Événements Bruxelles,,,à vérifier,Publier seulement si musique bien acceptée
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,6,Bons plans Bruxelles,,,à vérifier,À utiliser après obtention d’une date
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,7,Musiciens Belgique,,,à vérifier,"Approche réseau, pas vente directe"
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,8,Musiciens Bruxelles,,,à vérifier,Bon pour scènes partagées
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,9,Booking concert Belgique,,,à vérifier,Très utile si groupe actif
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,10,Programmation concerts Belgique,,,à vérifier,Demander admin si nécessaire
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,11,Festivals Belgique,,,à vérifier,Complément à la base prospection
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,12,Brésiliens en Belgique,,,à vérifier,Très compatible avec A SELVA
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,13,Brésiliens à Bruxelles,,,à vérifier,Prévoir version bilingue courte
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,14,Samba Belgique,,,à vérifier,Très fort pour A SELVA
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,15,Samba Bruxelles,,,à vérifier,Cible très naturelle
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,16,Batucada Belgique,,,à vérifier,Possible collaboration ou plateau
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,17,Forró Belgique,,,à vérifier,"Bon public danse, moins booking"
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,18,Latinos en Belgique,,,à vérifier,Très compatible
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,19,Latinos Bruxelles,,,à vérifier,Mettre l’accent danse / Brésil
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,20,Salsa Bachata Kizomba Belgique,,,à vérifier,Utile pour afterparties et soirées danse
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,21,Kizomba Belgique,,,à vérifier,À utiliser pour événements danse
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,22,Afro Belgique,,,à vérifier,Angle afro-brésilien
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,23,Afro Bruxelles,,,à vérifier,Très utile pour bars / festivals afro
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,24,Afro House Belgium,,,à vérifier,Présenter A SELVA comme live organique
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,25,Organic House Belgium,,,à vérifier,Bonne cible club
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,26,House Music Belgium,,,à vérifier,Approche courte avec vidéo live
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,27,Techno Belgium,,,à vérifier,À utiliser avec prudence
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,28,Global Bass Belgium,,,à vérifier,Très compatible mais peut être petit
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,29,World Music Belgium,,,à vérifier,Très cohérent
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,30,Musiques du monde Belgique,,,à vérifier,Priorité élevée
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,31,Musiques du monde Bruxelles,,,à vérifier,À faire tôt
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,32,Artistes Belgique,,,à vérifier,Moins ciblé
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,33,Événements culturels Belgique,,,à vérifier,Bon pour centres culturels
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,34,Centres culturels Belgique,,,à vérifier,Approche sobre
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,35,Fête de la musique Belgique,,,à vérifier,Très utile pour dates publiques
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,36,Open mic Bruxelles,,,à vérifier,Peut mener à contacts bars
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,37,Jam Bruxelles,,,à vérifier,Bon pour réseau local
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,38,Concerts Wallonie,,,à vérifier,"Mons, Namur, Liège, Charleroi"
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,39,Concerts Liège,,,à vérifier,Compléter avec lieux Liège
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,40,Concerts Namur,,,à vérifier,Utile pour Ishango / Namur
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,41,Concerts Mons,,,à vérifier,Nyllo a déjà un lien Mars / Mons
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,42,Concerts Charleroi,,,à vérifier,À explorer
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,43,Concerts Anvers,,,à vérifier,Prévoir anglais ou néerlandais simple
Groupes Facebook Belgique - A SELVA Nyllo Canella.csv,44,Concerts Gent,,,à vérifier,Bonne ville musicale
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,2,,,,à vérifier,Requête prioritaire : concerts Belgique
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,3,,,,à vérifier,Très utile pour petites salles et bars
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,4,,,,à vérifier,"Pour collaborations, plateaux, premières parties"
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,5,,,,à vérifier,Bon pour réseaux locaux
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,6,,,,à vérifier,Cible public local
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,7,,,,à vérifier,Cible large
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,8,,,,à vérifier,Angle Brésil / danse / percussions
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,9,,,,à vérifier,Angle communauté brésilienne
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,10,,,,à vérifier,Très compatible
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,11,,,,à vérifier,Angle club et machines
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,12,,,,à vérifier,À utiliser avec prudence
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,13,,,,à vérifier,Angle organic house / afro-house
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,14,,,,à vérifier,Priorité région proche Belgique
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,15,,,,à vérifier,Pour premières parties et plateaux
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,16,,,,à vérifier,Public local + lieux
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,17,,,,à vérifier,Très forte zone de prospection
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,18,,,,à vérifier,Cible public et petites dates
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,19,,,,à vérifier,Collabs / scènes partagées
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,20,,,,à vérifier,Très adapté pour A SELVA
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,21,,,,à vérifier,Très compatible
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,22,,,,à vérifier,Public danse brésilienne
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,23,,,,à vérifier,Angle club / organic house
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,24,,,,à vérifier,Très cohérent avec Samba Tech
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,25,,,,à vérifier,Grand Est prioritaire
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,26,,,,à vérifier,Très compatible avec Bateau du Rhin / Café Libro
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,27,,,,à vérifier,Pour bars et Terrasses du Jeudi
Suivi groupes Facebook - A SELVA Nyllo Canella.csv,28,,,,à vérifier,Pour Café Le Régent / Le Cargö
