Pays,Region,Province,Ville,Nom,Type_fichier,Categorie,Contact_public,Telephone,Site,Source_URL,Styles_Nyllo,Segment_booking,Priorite,Statut,Action_recommandee,Notes,Fichier_source
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Le Reservoir Bar,after-party / bar / club / discotheque,Bar DJ / concerts,info@lereservoir.be,,https://www.visit.brussels/,https://www.visit.brussels/en/visitors/venue-details.Le-Reservoir-bar.274795,house-music,club/house/electro,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Bar avec concerts et DJ sets ; emerging Belgian scene,After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Au Bassin,after-party / bar / club / discotheque,Bar / after party / groupes,info@aubassin.be,,https://aubassin.be/,https://www.visit.brussels/en/professionals/venue-details.Au-Bassin.245494,house-music,club/house/electro,A,à contacter,Contacter en premier avec message personnalise Nyllo.,"Email confirmé par Visit Brussels et Instagram officiel ; Quai aux Briques, 1000 Bruxelles ; salles privatisables jusque 250 personnes",After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Ixelles,The Crazy Circle,after-party / bar / club / discotheque,Bar alternatif / after party,info@thecrazycircle.com,,https://www.visit.brussels/,https://www.visit.brussels/en/visitors/venue-details.The-Crazy-Circle.252434,house-music,club/house/electro,B,à contacter,Completer/contact selon calendrier.,Bar bruxellois ; à tester pour format petit club / after party,After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Café Béguin,after-party / bar / club / discotheque,Bar / café concert / afro-world,cafebeguin@gmail.com,,https://www.cafebeguin.be/,https://www.cafebeguin.be/,world-music | house-music | afro-house,afro/world/house,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Déjà très compatible concerts/jams afro-world,After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,La Machine,after-party / bar / club / discotheque,Bar / club / live music,info@lamachine.be,,https://lamachine.be/,https://www.visit.brussels/fr/visiteurs/venue-details.La-Machine.265916,house-music,club/house/electro,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Email et téléphone confirmés par Visit Brussels : +32 2 808 55 54 ; Instagram indique aussi ARTIST BOOKING sur info@lamachine.be,After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Ixelles / Bruxelles,Sounds Jazz Club,after-party / bar / club / discotheque,Club jazz / world / diaspora,sounds-resist@collectifs.net,,https://www.sounds.brussels/,https://www.sounds.brussels/fr/jazz-club/,percussions | world-music | house-music,afro/world/house,A,à contacter,Contacter en premier avec message personnalise Nyllo.,"Programmation jazz, world, diaspora ; bon format percussions live",After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,JAM Brussels Rooftop,after-party / bar / club / discotheque,Hotel rooftop / bar / private events,brussels@jamhotels.eu,,https://www.jamhotels.eu/special-events,https://www.jamhotels.eu/special-events,house-music,club/house/electro,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Hôtel avec rooftop/pool et événements spéciaux ; très bon format sunset/afterwork/after party,After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,The Standard Brussels / Lila29,after-party / bar / club / discotheque,Hotel rooftop / private events,brussels.events@standardhotels.com,,https://www.standardhotels.com/brussels/properties/brussels,https://www.standardhotels.com/brussels/properties/brussels,house-music,club/house/electro,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Hôtel avec rooftop bar Lila29 et espaces events ; jusqu'à 200 standing outdoor selon page events,After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,The Dominican,after-party / bar / club / discotheque,Hotel / after work / events,info@thedominican.be,,https://www.visit.brussels/,https://www.visit.brussels/en/visitors/event-details.The-Dominican-After-Work.5700019677,house-music,club/house/electro,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Hôtel avec after work répertorié Visit Brussels ; bon angle afterwork live,After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,The Roof by The 1040 / Sofitel Brussels Europe,after-party / bar / club / discotheque,Hotel rooftop / private event,sophie.contardi@sofitel.com,,https://sofitel.accor.com/en/hotels/5282/B002.bar.html,https://sofitel.accor.com/en/hotels/5282/B002.bar.html,house-music,club/house/electro,A,à contacter,Contacter en premier avec message personnalise Nyllo.,"Rooftop avec cocktails, DJ sets et privatisation jusqu'à 70 personnes",After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,The Hoxton Brussels,after-party / bar / club / discotheque,Hotel rooftop / bar / events,events.brussels@thehox.com,,https://thehoxton.com/brussels/parties-and-celebrations/,https://thehoxton.com/brussels/contact/,house-music,club/house/electro,A,à contacter,Contacter en premier avec message personnalise Nyllo.,"Email events Bruxelles confirmé ; autres contacts utiles : elio@thehox.com, hello.brussels@thehox.com, sales.brussels@thehox.com ; téléphone +32 2 883 81 00",After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Flandre,Flandre orientale,Gand,Yalo Hotel Rooftop,after-party / bar / club / discotheque,Hotel rooftop / bar / events,hello@yalohotel.com,,https://www.yalohotel.com/en/,https://www.yalohotel.com/en/about/,house-music,club/house/electro,A,à contacter,Contacter en premier avec message personnalise Nyllo.,"Boutique hôtel avec bar, restaurant, rooftop et meeting/events ; bon format Gand",After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Flandre,Anvers,Anvers,Lindner Hotel Antwerp / Sky Lounge,after-party / bar / club / discotheque,Hotel rooftop / bar / DJ,info.antwerp@lindnerhotels.com,,https://www.hyatt.com/jdv-by-hyatt/en-US/anrja-lindner-hotel-antwerp/sky-lounge,https://www.hyatt.com/jdv-by-hyatt/en-US/anrja-lindner-hotel-antwerp/sky-lounge,house-music,club/house/electro,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Sky Lounge ; page hôtel mentionne after work du vendredi avec DJ,After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Flandre,Anvers,Anvers,Skybar Antwerp,after-party / bar / club / discotheque,Rooftop bar / private events,info@skybarantwerp.be,,https://www.skybarantwerp.be/,https://www.skybarantwerp.be/contact,house-music,club/house/electro,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Rooftop privatisable entièrement ou partiellement ; live DJ sur certains événements,After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Flandre,Flandre orientale,Gand,Club 69,after-party / bar / club / discotheque,Club / after party,info@club-69.be,,https://www.club-69.be/,https://www.club-69.be/,house-music,club/house/electro,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Club ouvert vendredi/samedi 23:00-06:00 ; table reservations par email,After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Flandre,Flandre orientale,Gand,Kompass Klub,after-party / bar / club / discotheque,Club house / techno,info@kompassklub.com,,https://kompassklub.com/,https://visit.gent.be/en/see-do/kompass-klub,world-music | afro-house | house-music,afro/world/house,B,à contacter,Completer/contact selon calendrier.,"Email confirmé par Visit Gent/Facebook ; adresse actuelle à compléter entre Nieuwevaart 51 et Vliegtuiglaan 12 selon sources ; club house/techno, approche afro-house possible | Contact email exploitable ; champs secondaires à compléter si besoin.",After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Flandre,Flandre orientale,Gand,Rooftop Gaston,after-party / bar / club / discotheque,Rooftop event venue,info@rooftopgaston.be,,https://rooftopgaston.be/en/halls/party-room/,https://visit.gent.be/en/gentcongres/rooftop-gaston,house-music,club/house/electro,A,à contacter,Contacter en premier avec message personnalise Nyllo.,"Email et téléphone confirmés par Visit Gent : +32 496 10 92 09 ; adresse Hurstweg 8, 9000 Gent ; location privée possible jusqu'à 96/150 selon configuration",After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Flandre,Flandre orientale,Gand,Gold Listening Bar,after-party / bar / club / discotheque,Listening bar / selector nights,info@goldbar.gent,,https://www.goldbar.gent/en,https://www.goldbar.gent/en,house-music,club/house/electro,B,à contacter,Completer/contact selon calendrier.,"Email confirmé par site officiel et Facebook ; adresse Goudstraat 2, 9000 Gent ; accepte propositions de sessions/curation et location privée",After party Belgique - A SELVA Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Café Béguin,bar spectacle / lieu public,Bar / café concert / jam afro-world,cafebeguin@gmail.com,,https://www.cafebeguin.be/,https://www.cafebeguin.be/,bresil | world-music,bresil/percussions/world,A,à contacter,Contacter en premier avec message personnalise Nyllo.,"Concerts gratuits 3 à 5 soirs par semaine ; jazz, afrobeat, afro-latin, groove, soul, salsa",Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Café Béguin,bar spectacle / lieu public,Jam afro / événement public,via Facebook / Café Béguin,,https://www.cafebeguin.be/,https://www.bars10.com/BE/Brussels/103055559329334/AFRO-JAM-Bruxelles,world-music,world music,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Source issue d’une page publique reprenant des posts Facebook ; jam de 16h à 21h,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Café Béguin,bar spectacle / lieu public,Concert / hommage,inmemoryofclive@gmail.com,,https://www.visit.brussels/,https://www.visit.brussels/en/visitors/event-details.Musical-Tribute-with-Clive-Govinden-s-Friends.5700022373,a qualifier,a qualifier,B,à contacter,Completer/contact selon calendrier.,Montre que le lieu accueille concerts publics et musiciens invités,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Flamingo,bar spectacle / lieu public,Concert / danse / diaspora,via Facebook / lieu,,à compléter,https://www.bars10.com/BE/Brussels/103055559329334/AFRO-JAM-Bruxelles,percussions | world-music,bresil/percussions/world,A,à contacter,Contacter en premier avec message personnalise Nyllo.,"Événement Fête de la Musique, très compatible percussion et danse",Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Flamingo,bar spectacle / lieu public,Bar / restaurant / concerts live,contact via site officiel,,https://flamingobrussel.be/en/contact,https://flamingobrussel.be/en/contact,world-music,world music,A,à contacter,Contacter en premier avec message personnalise Nyllo.,"Site officiel avec page Contact ; adresse Rue de Laeken 177, 1000 Bruxelles ; live music et Afro Jam repérés, email direct non affiché.",Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,La Machine,bar spectacle / lieu public,Bar / club / live music,info@lamachine.be,,https://lamachine.be/,https://lamachine.be/fr/contact,house-music,club/house/electro,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Bar live music + DJ à Saint-Géry ; VI.BE le classe café / club,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,La Machine,bar spectacle / lieu public,Lieu musique live / club,info@lamachine.be,,https://vi.be/platform/lamachine,https://vi.be/platform/lamachine,house-music,club/house/electro,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Plateforme VI.BE : Steampunk bar/live music club,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Wallonie,Namur,Eghezee,Chateau d'Egmont,bar spectacle / lieu public,After party / afro house,info@chateaudegmont.be,0489 53 52 18,https://www.chateaudegmont.be/,https://www.chateaudegmont.be/,world-music | afro-house | house-music,afro/world/house,A,contact public verifie,Contacter en premier avec message personnalise Nyllo.,Contact fourni manuellement le 13/08/2026 ; téléphone 0489 53 52 18 ; à classer Nyllo after party afro house Belgique,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Mirano Brussels,bar spectacle / lieu public,After party / afro house,info@miranobrussels.com,,à compléter,à compléter,world-music | afro-house | house-music,afro/world/house,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Contact fourni manuellement le 13/08/2026 ; téléphone 0456 68 88 52 ; à classer after party afro house,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Wallonie,Namur,Namur,Le Kraken Pub,bar spectacle / lieu public,Bar / after party afro house,contact@lekrakenpub.com,,https://lekrakenpub.com/,https://lekrakenpub.com/,world-music | afro-house | house-music,afro/world/house,A,verifie email,Contacter en premier avec message personnalise Nyllo.,Contact fourni manuellement le 13/08/2026 ; à classer afro house,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Anderlecht,Storia Club Event,bar spectacle / lieu public,Club / after party afro house,storiaclubevent@gmail.com,,https://www.companyweb.be/fr/1004568028/storia-event,https://www.companyweb.be/fr/1004568028/storia-event,world-music | afro-house | house-music,afro/world/house,A,email secondaire,Contacter en premier avec message personnalise Nyllo.,"Contact fourni manuellement le 13/08/2026 ; à classer afro house Belgique | Enrichissement fin: Storia Event localise Avenue de Scheut 74, 1070 Anderlecht; email utilisateur conserve.",Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Wallonie,Namur,Namur,La Cuve Namur,bar spectacle / lieu public,Bar / after party afro house,lacuvenamur@gmail.com,,à compléter,à compléter,world-music | afro-house | house-music,afro/world/house,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Contact fourni manuellement le 13/08/2026 ; à classer afro house,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,The Day Club Belgium,bar spectacle / lieu public,After party / club afro house,thedayclub.belgium@gmail.com,,à compléter,à compléter,world-music | afro-house | house-music,afro/world/house,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Contact fourni manuellement le 13/08/2026 ; after party Bruxelles ; à classer afro house,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Ixelles / Bruxelles,Sounds Jazz Club,bar spectacle / lieu public,Club jazz / world / diaspora,booking via formulaire / sounds-resist@collectifs.net,,https://www.sounds.brussels/,https://www.sounds.brussels/fr/jazz-club/,world-music | house-music,afro/world/house,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Programmation jazz + world music + cultures diasporiques ; lieu 100 personnes possible,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Ixelles / Bruxelles,Sounds Jazz Club,bar spectacle / lieu public,Booking concert,formulaire booking,,https://www.sounds.brussels/,https://www.sounds.brussels/nl/booking/,world-music | house-music,afro/world/house,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Formulaire artiste pour demande de concert,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Ixelles / Bruxelles,Sounds Jazz Club,bar spectacle / lieu public,Live music / Sounds Resist,formulaire booking,,https://www.sounds.brussels/,https://www.sounds.brussels/fr/jazz-live-concert/,percussions | world-music | house-music,afro/world/house,A,à contacter,Contacter en premier avec message personnalise Nyllo.,"Programmation 2026 avec percussions, FX, voix, world / diaspora",Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Le Baixu,bar spectacle / lieu public,Lieu culturel / petite salle world jazz,+32 475 36 18 36,,https://www.lebaixu.com/fr,https://www.lebaixu.com/fr/le-lieu,world-music,world music,A,à contacter,Contacter en premier avec message personnalise Nyllo.,"Salle 80 assis / 120 debout ; découverte d’artistes, jazz, classique et musique du monde",Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Le Baixu,bar spectacle / lieu public,Programmation world music,+32 475 36 18 36,,https://www.lebaixu.com/fr,https://www.lebaixu.com/nl/la-programmation,bresil | world-music,bresil/percussions/world,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Le Baixu annonce un cycle Musique du Monde avec Brésil et musiques latines,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Forest / Bruxelles,BRASS,bar spectacle / lieu public,Centre culturel / programmation musicale,quentin.velghe@lebrass.be,,https://www.lebrass.be/,https://www.lebrass.be/apropos/equipe/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Contact programmation musicale identifié : Quentin Velghe,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Brasserie iLLeGaaL,bar spectacle / lieu public,Brasserie culturelle / événements,art@brasserie-illegaal.com,,https://brasserie-illegaal.com/,https://www.visit.brussels/en/visitors/venue-details.Brasserie-iLLeGaaL.279476,a qualifier,a qualifier,B,à contacter,Completer/contact selon calendrier.,Email culture/art confirmé par Visit Brussels ; lieu festif avec concerts et événements.,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Chaff,bar spectacle / lieu public,Bar / concerts / fêtes,bookingchaff@gmail.com,,https://www.facebook.com/bistrolechaff/,https://www.visit.brussels/en/visitors/venue-details.Chaff.244836,a qualifier,a qualifier,B,à contacter,Completer/contact selon calendrier.,Email booking et téléphone +32 2 502 58 48 confirmés par Visit Brussels/Facebook ; concerts le lundi.,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,KFK Hope,bar spectacle / lieu public,Lieu socioculturel / salle,christiane@kfkhope.com,,https://kfkhope.com/,https://kfkhope.com/,a qualifier,a qualifier,B,à contacter,Completer/contact selon calendrier.,Email privatisation confirmé sur site ; info@kfkhope.com et +32 460 95 41 50 aussi disponibles.,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Café Roskam,bar spectacle / lieu public,Café jazz / concerts,à vérifier,,à vérifier,https://www.visit.brussels/nl/bezoekers/agenda/theater-muziek-cabaret--knusse-locaties-om-het-warm-te-houden,world-music,world music,B,à vérifier,Completer/contact selon calendrier.,Jazzconcerts généralement le dimanche soir,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Café Central,bar spectacle / lieu public,Bar / concerts / scène bruxelloise,wearecafecentral@gmail.com,,https://www.facebook.com/cafecentral.bxl/,https://www.facebook.com/cafecentral.bxl/,house-music,club/house/electro,B,à contacter,Completer/contact selon calendrier.,"Email public Facebook ; lieu concerts/DJ sets, vérifier reprise/activité actuelle avant envoi.",Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Crix Café,bar spectacle / lieu public,Bar / jam / scène locale,programmation@crixcafe.be,,https://www.crixcafe.be/contact,https://www.crixcafe.be/contact,a qualifier,a qualifier,B,à contacter,Completer/contact selon calendrier.,Email artistes confirmé ; email info info@crixcafe.be et téléphone +32 478 98 06 70.,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Saint-Gilles / Bruxelles,Pianofabriek,bar spectacle / lieu public,Centre culturel / musiques du monde,info@pianofabriek.be,,https://www.pianofabriek.be/en/contact,https://www.pianofabriek.be/en/contact,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Email et téléphone +32 2 541 01 70 confirmés.,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Horloge du Sud,bar spectacle / lieu public,Restaurant / bar culturel africain,info@horlogedusud.be,,https://horlogedusud.be/contact-2/,https://horlogedusud.be/contact-2/,world-music,world music,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Email et téléphone +32 2 512 18 64 confirmés ; brasserie culturelle africaine.,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles sur scènes,Plusieurs café-théâtres,bar spectacle / lieu public,Festival café-théâtres / petites salles,n.wibail@visit.brussels / +32 490 49 43 84,,https://www.bruxellessurscenes.be/,https://www.visit.brussels/content/dam/visitbrussels/pdf-brochures/presse/cp/bxl-sur-scenes-2024/2024-09-20-PR-Bruxelles-sur-scenes.pdf,a qualifier,a qualifier,C,à contacter,Completer/contact selon calendrier.,"Contact presse Visit Brussels trouvé dans communiqué ; pour programmation, utiliser aussi les lieux participants.",Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Bars et cafés,bar spectacle / lieu public,Festival café-concerts bruxellois,contact via Court-Circuit / Stoemp! / festivals.be contact form,,https://www.court-circuit.live/,https://www.festivals.be/contact/,a qualifier,a qualifier,C,contact via site,Completer/contact selon calendrier.,Enrichissement fin: contact direct Stoemp non confirme; passer par Court-Circuit ou Festivals.be.,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles / Uccle,Salle 1180,bar spectacle / lieu public,Festival culturel africain,salle1180@uccle.brussels,02/605.11.80 / 02/348.65.16,https://www.uccle.be/fr/vie-pratique/enfance-et-jeunesse/jeunesse/salle-1180,https://www.uccle.be/fr/vie-pratique/enfance-et-jeunesse/jeunesse/salle-1180,world-music,world music,B,verifie email,Completer/contact selon calendrier.,Événement public culture togolaise à Bruxelles,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Centre Culturel Jacques Franck,bar spectacle / lieu public,Festival culturel africain,à vérifier,,https://diasmecom.com/,https://diasmecom.com/events/categorie/festival/page/2/?eventDisplay=past,world-music,world music,B,à vérifier,Completer/contact selon calendrier.,8e édition African Culture Festival,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
