Pays,Region,Ville,Nom,Categorie,Contact_public,Telephone,Site,Source_URL,Compatibilite_Nyllo,Priorite,Statut,Notes
France,Hauts-de-France,Lille,Cafe Peacock,Bar / concerts / DJ sets,lille@cafe-peacock.fr,1586784909,https://cafe-peacock.fr/,https://cafe-peacock.fr/en/nos-evenements/,Bonne,B,à contacter,DJ sets et événements privés ; compatibilité moyenne mais exploitable | Enrichi auto 13/08/2026 : Telephone=1586784909 ; source https://cafe-peacock.fr/
France,Hauts-de-France,Lille,Les Sarrazins,Cafe cooperatif / evenements culturels,contact@les-sarrazins.org,9999999999,https://les-sarrazins.org/,https://les-sarrazins.org/,Bonne,B,à contacter,Lieu associatif/culturel ; plutôt petit format | Enrichi auto 13/08/2026 : Telephone=9999999999 ; source https://les-sarrazins.org/
France,Hauts-de-France,Lille,Le Bus Magique,Cafe associatif / concerts,lebusmagique.lille@gmail.com,1785505817,https://lebusmagiquelille.fr,https://www.slowlille.fr/project/le-bus-magique/,Bonne,B,à contacter,Péniche / tiers-lieu concerts ; bon format vivant | Enrichi auto 13/08/2026 : Telephone=1785505817 ; source https://lebusmagiquelille.fr
France,Hauts-de-France,Amiens,Air Beer'n'Bear,Bar concerts / klub,airbeernbearklubhouse@gmail.com,1 1 0 0 0 13 10,https://www.airbeernbear.fr/,https://www.airbeernbear.fr/,Forte,A,à contacter,Bar concerts et événements ; contact public affiché dans base existante | Enrichi auto 13/08/2026 : Telephone=1 1 0 0 0 13 10 ; source https://www.airbeernbear.fr/
France,Hauts-de-France,Amiens,Network Bar,Bar / privatisation,contact via site officiel / téléphone,09 70 35 03 94 / 06 30 02 85 47,https://www.network-bar-amiens.fr/,https://www.network-bar-amiens.fr/,Bonne,B,à contacter,Bar festif Amiens avec DJ 2 à 3 fois par semaine ; formulaire officiel Réserver/Privatiser + téléphone 09 70 35 03 94 ; PagesJaunes affiche aussi 06 30 02 85 47.
France,Hauts-de-France,Amiens,Bar Maxime,Bar / privatisation,barmaxime.privatisation@gmail.com,06 73 76 34 75,https://www.facebook.com/Barmaxime/,https://www.facebook.com/Barmaxime/,Forte,A,à contacter,Privatisation possible du lundi au samedi ; source Facebook publique
France,Hauts-de-France,Dunkerque,Estaminet Aux Aieux,Belgian style bar / formulaire contact,contact via formulaire / téléphone,03 28 51 28 48,https://www.estaminetauxaieux.fr/en/address-contact/,https://www.estaminetauxaieux.fr/en/address-contact/,Moyenne,B,à contacter,Pas d’email direct trouvé ; formulaire officiel et téléphone 03 28 51 28 48 exploitables.
France,Hauts-de-France,Dunkerque,Hotel Borel Lounge Bar,Hotel lounge bar,borel@hotelborel.fr,+33 3 28 66 51 80,https://www.hotel-borel-dunkerque.com/lounge-bar-hotel-dunkerque,https://www.hotel-borel-dunkerque.com/lounge-bar-hotel-dunkerque,Moyenne,B,à contacter,Hotel lounge bar ; vérifier possibilité DJ/live
France,Normandie,Caen,The People Caen,Rooftop bar / hotel-hostel / DJ sets,caen@thepeoplehostel.com,02 61 53 69 40,https://www.thepeoplehostel.com/en/bar-restaurant/bar-de-caen/,https://www.thepeoplehostel.com/en/bar-restaurant/bar-de-caen/,Très forte,A,à contacter,Rooftop bar avec concerts live et DJ sets chaque semaine ; private events possibles
France,Normandie,Le Havre,The People Rooftop Le Havre,Rooftop bar / DJ sets / live concerts,lehavre.commercial@thepeoplehostel.com,01 81 22 40 89,https://www.thepeoplehostel.com/en/bar-restaurant/rooftop-le-havre/,https://www.thepeoplehostel.com/en/bar-restaurant/rooftop-le-havre/,Très forte,A,à contacter,"Rooftop avec DJ set, live music et privatisation ; très compatible"
France,Normandie,Le Havre,The People Bar / Birgit Hotel,Rooftop bar / live music / events,lehavre@hotelbirgit.com,02 35 26 49 49,https://lehavre.hotelbirgit.com/en/le-rooftop-the-people-bar/,https://lehavre.hotelbirgit.com/en/le-rooftop-the-people-bar/,Très forte,A,à contacter,"Rooftop bar avec trois événements par semaine, live music et dancing"
France,Normandie,Le Havre,JOST Le Havre,Hotel / foodcourt / bar / events,sales@jostlehavre.com,+33 6 07 91 57 42,https://en.jostlehavre.com/,https://en.jostlehavre.com/,Très forte,A,à contacter,Contact commercial & event ; hôtel avec foodcourt bar events
France,Normandie,Le Havre,JOST Le Havre - general,Hotel / foodcourt / bar,hello@jostlehavre.com,+33 2 19 00 20 80,https://en.jostlehavre.com/,https://en.jostlehavre.com/,Forte,B,à contacter,Contact reception/foodcourt en complément
France,Normandie,Rouen,So Rouen,Bar restaurant club / afterworks,contact@so-rouen.com,+33 2 35 23 71 19,https://so-rouen.com/contact/,https://so-rouen.com/contact/,Très forte,A,à contacter,"Email officiel trouvé ; réservation club 06 68 75 23 27 ; adresse Quai Ferdinand de Lesseps Hangar 9, 76000 Rouen"
France,Normandie,Rouen,Le Bar'Ouf,Bar musical / DJ set / privatisation,contact@joysevent.fr,06 86 11 90 00,https://www.seine-maritime-tourisme.com/en/offers/le-barouf-rouen-en-6432371/,https://www.instagram.com/p/DWqn7DRCITf/,Très forte,A,à contacter,"Adresse 11 bis rue de Fontenelle, 76000 Rouen ; email de privatisation trouvé via publication Instagram Joys Event ; téléphone tourisme conservé"
France,Normandie,Hérouville-Saint-Clair,Big Band Cafe,Salle concert / bar / events,guillaume@bigbandcafe.com,02 31 47 49 48,https://bigbandcafe.com/scene-regionale/,https://bigbandcafe.com/scene-regionale/,Forte,A,à contacter,Contact scène régionale confirmé ; téléphone salle général 02 31 47 96 13 en complément.
France,Normandie,Alençon,La Luciole Bar / SMAC,Bar salle concerts,infos@laluciole.org,02 33 32 83 33,https://www.laluciole.org/infos-pratiques/contact/,https://www.laluciole.org/infos-pratiques/contact/,Forte,B,à contacter,SMAC avec bar ; plutôt programmation concert que after party hotel/bar
