Nom,Ville / region,Ancien_contact,Nouveau_contact,Ancien_tel,Nouveau_tel,Ancien_statut,Nouveau_statut,Source URL,Notes_enrichissement
Muziekgebouw aan het IJ,Amsterdam,contact via site,program@muziekgebouw.nl / events@muziekgebouw.nl,+31 20 788 2000,+31 20 788 2000,a verifier,verifie email,https://www.muziekgebouw.nl/en/corporate-events-ze-fgcq,Emails programmation/events officiels.
BARRACA Rodizio Grill & Bar,Amsterdam,contact via site,amsterdam@barraca.nl,a completer,020 226 2520,a verifier,verifie email,https://barraca.nl/amsterdam/en/,Email officiel restaurant/bar.
Brazanova,Groningen,contact via site,hello@brazanova.com,a completer,+31 50 527 7431,a verifier,verifie email,https://www.brazanova.com/en,Email officiel.
Selva Restaurant Amsterdam,Amsterdam,contact via site,restaurantselva@nhow-hotels.com / groups.nhowamsterdamrai@nh-hotels.com,a completer,020 800 3224,a verifier,verifie email,https://www.selva-restaurant.com/en/,Email restaurant/hotel officiel.
CEP Agency Amsterdam,Amsterdam,contact via site,info@creativeeventsagency.com / info@creativeeventspromoter.club,a completer,a completer,a verifier,verifie email,https://creativeeventsagency.com/promoters,Emails publics agence/promoter.
Amsterdam Club Promoters,Amsterdam,contact via Instagram,contact via Instagram Club Noir Amsterdam,a completer,a completer,a verifier,a verifier,https://www.instagram.com/clubnoiramsterdam/,Pas de mail public direct ; garder social officiel/piste promoter.
NYX Hotel Amsterdam Rembrandt Square,Amsterdam,contact via site,events.amsterdam@nyx-hotels.nl / info.rembrandtsquare@nyx-hotels.nl,a completer,a completer,a verifier,verifie email,https://www.nyx-hotels.com/amsterdam/nyx-hotel-amsterdam-rembrandt-square/meeting,Email events hotel officiel.
nhow Rotterdam / Elvy Gastrobar,Rotterdam,contact via site,contact via nhow Rotterdam / Elvy Gastrobar,a completer,a completer,a verifier,contact via site,https://www.nhow-hotels.com/en/nhow-rotterdam,Mail direct non confirme dans cette passe.
Hotel New York / NY Basement,Rotterdam,contact via site,info@nybasement.nl / info@hotelnewyork.nl,a completer,a completer,a verifier,verifie email,https://hotelnewyork.com/party-venue-rotterdam/,Emails officiels lieu/hotel.
Supperclub Amsterdam,Amsterdam,contact via site,sales@supper.nl / info@supper.nl,WhatsApp +31 6 28725217,+31 6 28725217 / +31 20 2050 221,a verifier,verifie email,https://supper.nl/private-events/,Email sales officiel private events + WhatsApp/telephone.
Perron Rotterdam,Rotterdam,contact via site,bookings@perron.nl / verhuur@perron.nl / info@perron.nl,+31 10 413 6742 / +31 6 38239153,+31 10 413 6742 / +31 6 38239153,a verifier,verifie email,https://perron.nl/faq/,"FAQ officielle : bookings artiste, verhuur location, info general."
P60 Amstelveen,Amstelveen,contact via site,info@p60.nl / helma@p60.nl,+31 20 3453445,+31 20 3453445,a verifier,verifie email,https://p60.nl/contact/,Emails officiels P60.
De Vorstin,Hilversum,contact via site,info@vorstin.nl,+31 35 6215841,+31 35 621 5841,a verifier,verifie email,https://vorstin.nl/over-ons/contact/,Email et telephone officiels.
Neushoorn,Leeuwarden,contact via site,events@neushoorn.nl / info@neushoorn.nl,+31 58 3030730,+31 58 303 0730,a verifier,verifie email,https://www.neushoorn.nl/contact,Email events officiel.
Willem Twee Poppodium,Den Bosch,contact via site,programmering@willem-twee.nl / info@willem-twee.nl,+31 73 6123422,+31 73 612 3422,a verifier,verifie email,https://www.willem-twee.nl/contact,Email programmeurs officiel.
Zoku Amsterdam Rooftop,Amsterdam,contact via site officiel events,meetamsterdam@livezoku.com / helloamsterdam@livezoku.com,a completer,+31 6 1820 9013 / +31 20 811 2811,contact via site,verifie email,https://livezoku.com/contact/,Contact Meeting & Events officiel Zoku Amsterdam.
Bar Twenty Two,Amsterdam,contact via ADE / site lieu a verifier,contact via formulaire officiel Bar22,a completer,a completer,a verifier,contact via site,https://www.bartwentytwo.nl/contact/,Page contact officielle sans mail visible ; piste ADE house conservee.
Bar-Restaurant Van de Werf,Amsterdam,contact via site officiel,info@vandewerf.amsterdam,a completer,020 737 0051,a verifier,verifie email,https://vandewerf.amsterdam/contact/,Email et telephone officiels Van de Werf.
WestWeelde,Amsterdam,contact via site officiel,info@westweelde.nl,a completer,+31 20 684 8496,a verifier,verifie email,https://www.westweelde.nl/contact,Email et telephone officiels WestWeelde.
Mystic Garden Festival,Amsterdam / Haarlemmermeer,contact via site,toegankelijkheid@mysticgardenfestival.nl,,+31 6 13417066,a verifier,email secondaire,https://www.mysticgardenfestival.nl/mystic-garden-festival-ade-2026/faq/,Email public officiel trouve mais pas booking ; telephone public social.
Utrecht - Gemeente Utrecht,Utrecht,contact via formulaire,Gemeente@utrecht.nl / formulaire officiel,+31 30 286 0000,14 030 / +31 30 286 0000 / WhatsApp 06 24927665,a verifier,contact public verifie,https://organisaties.overheid.nl/38122/Gemeente_Utrecht,Email public Overheid.nl + contacts officiels Utrecht.
Delft - Gemeente Delft,Delft,contact via formulaire officiel,contact via formulaire officiel / WhatsApp +31 6 52739476,14015 / WhatsApp +31 6 52739476,14015 / WhatsApp +31 6 52739476,contact public verifie,contact public verifie,https://www.delft.nl/en/make-or-cancel-appointment,Contact officiel public.
Breda - Gemeente Breda,Breda,contact via formulaire evenement organiser,contact via formulaire evenement organiser,+31 76 529 3001,+31 76 529 3001,contact public verifie,contact public verifie,https://www.breda.nl/evenement-organiseren,Contact officiel evenement organiser.
Arnhem - Gemeente Arnhem,Arnhem,contact via formulaire officiel,contact via formulaire officiel,0800 1809,0800 1809,contact public verifie,contact public verifie,https://www.arnhem.nl/,Contact officiel public.
Almere - Gemeente Almere,Almere,contact via formulaire officiel,contact via formulaire officiel,14 036 / +31 36 539 9911,14 036 / +31 36 539 9911,contact public verifie,contact public verifie,https://english.almere.nl/contact,Contact officiel public.
de Doelen,Rotterdam,m.boumans@dedoelen.nl / contact via site,m.boumans@dedoelen.nl,+31 10 217 1700,+31 10 217 1700,a contacter,verifie email,https://www.dedoelen.nl/en,Contact public deja present ; statut nettoye.
Samba Kitchen Amsterdam,Amsterdam,contact via site,hello@samba-kitchen.nl,+31 6 45975771,020 676 0513 / +31 6 45975771,a verifier,verifie email,https://www.samba-kitchen.nl/contact,Email et telephone officiels Samba Kitchen.
Amapiano Worldwide Amsterdam / Benaiah & Friends,Amsterdam,contact via socials,booking via djbenaiah.com/bookings / +31 6 265 874 80,table reservations +31 6 265874,+31 6 265 874 80,a verifier,contact public verifie,https://site.fourvenues.com/de/bitterzoet/events/amapiano-worldwide-19-06-2026-FTNW,"Piste publique booking DJ Benaiah/Benaiah & Friends, pas de mail direct."
Zoku Amsterdam,Amsterdam,contact via site,meetamsterdam@livezoku.com / helloamsterdam@livezoku.com,a completer,+31 6 1820 9013 / +31 20 811 2811,a verifier,verifie email,https://livezoku.com/contact/,Contact Meeting & Events officiel Zoku Amsterdam.
nhow Rotterdam / Elvy Gastrobar,Rotterdam,contact via nhow Rotterdam / Elvy Gastrobar,rotterdam@nhow-hotels.com,a completer,+31 10 206 7600,contact via site,verifie email,https://www.nhow-hotels.com/en/nhow-rotterdam/eat-drink,Email et telephone officiels nhow Rotterdam / Elvy.
Bar Twenty Two,Amsterdam,contact via formulaire officiel Bar22,formulaire officiel Bar Twenty Two / Instagram @bar22amsterdam,a completer,contact via formulaire,contact via site,contact public verifie,https://www.bartwentytwo.nl/contact/,Site officiel: contact uniquement via formulaire + Instagram; pas de mail public direct.
Annabel Rotterdam,Rotterdam,contact via site officiel,verhuur@annabel.nu / info@annabel.nu,a completer,+31 6 18211259,contact via site,verifie email,https://www.rotterdam.info/en/conventions/finder-venues/annabel,Rotterdam Partners publie verhuur@annabel.nu; site Annabel expose info@annabel.nu.
A Hora do Brasil Foundation / Brazilian Summer Sessions,Amsterdam,contact via DutchCulture / organisation a verifier,ancienne fondation inactive - contacter BIMHUIS booking@bimhuis.nl pour piste Brazilian Summer Sessions,a completer,+31 20 788 2150,a verifier,hors cible / archive,https://dutchculture.nl/en/location/hora-do-brasil-foundation,DutchCulture indique que la fondation a cesse ses activites le 31/10/2012; piste a remplacer par BIMHUIS/Roda de Samba.
Festival Mundial,Tilburg,contact via site,contact@mundial-korvel.nl,,contact via formulaire,a verifier,verifie email,https://mundialindewijk.nl/faq/,Festival Mundial historique remplace/localise par Mundial in de Wijk/Korvel; email officiel public.
A Hora do Brasil / Brazilian Summer Sessions,Amsterdam,contact via DutchCulture / organisation a verifier,ancienne fondation inactive - contacter BIMHUIS booking@bimhuis.nl pour piste Brazilian Summer Sessions,a completer,+31 20 788 2150,a verifier,hors cible / archive,https://dutchculture.nl/en/location/hora-do-brasil-foundation,"Doublon de la fondation inactive; garder comme historique, utiliser BIMHUIS pour booking bresilien."
Amsterdam - Gemeente Amsterdam,Amsterdam,contact via formulaire officiel,formulaire evenement officiel / standard ville,14 020 / +31 20 624 1111,14 020 / +31 20 624 1111,contact via site,contact public verifie,https://www.amsterdam.nl/en/business/event-permit/,Page officielle event permit: contact telephone et lien autres moyens de contact.
Den Haag - Gemeente Den Haag,Den Haag,contact via formulaire officiel,evenementenbureau@denhaag.nl / vergunning@denhaag.nl,14070 / +31 70 353 3000,070 353 23 57 / 14070,contact via site,verifie email,https://www.denhaag.nl/en/permits-and-exemptions/report-an-event/,"Page officielle evenement: evenementbureau pour calendrier reservation, vergunning pour questions permis."
Haarlem - Gemeente Haarlem,Haarlem,contact via site officiel,evenementcoordinator@haarlem.nl / antwoord@haarlem.nl,14 023 / +31 23 511 5115,14 023 / +31 23 511 5115,contact via site,verifie email,https://haarlem.nl/evenementenvergunning,Page officielle evenement: evenementcoordinator@haarlem.nl; Overheid.nl confirme antwoord@haarlem.nl.
Amsterdam Club Promoters,Amsterdam,contact via Instagram Club Noir Amsterdam,Info@clubnoir-amsterdam.nl,a completer,+31 6 16705072,a verifier,verifie email,https://www.clubnoir-amsterdam.nl/contact/,Club Noir officiel: email public et telephone Facebook; cible afrobeats/amapiano Amsterdam.
